User_Id,Place_Id,Place_rating
5,1,4.1
40,2,4.2
11799,3,4.6
81,4,3.1
69,5,3.7
71,6,3.9
76,7,4
23,8,4.1
61,9,4.1
11,10,3.9
4,11,4.6
4,12,4.6
15,13,3.7
8,14,4.1
38726,15,4.6
22165,16,4.3
16,17,4.2
4,18,3.5
4,19,3.5
1472,20,3.6
3,21,3.7
692,22,4.3
248,23,4
68832,24,4.3
73,25,4.6
1997,26,3.5
350,27,4
16,28,4.2
16,29,4.2
329,30,3.6
16,31,4.6
34,32,4.1
14339,33,4.6
168,34,4.2
150,35,4
38,36,4.3
35,37,4.1
891,38,4.3
83245,39,4.6
18,40,4.1
376,41,4.5
775,42,4
53,43,4.4
197,44,3
924,45,4.3
749131,46,4.3
172772,47,4.5
42,48,4.4
292,49,4.3
1706,50,4.7
125,51,4.2
9,52,3.9
6400,53,4.4
160,54,4.2
58,55,4.4
8566,56,4.5
11,57,3.7
18,58,4.1
44000,59,4.5
16,60,4.1
119,61,4.3
50,62,4.2
95,63,4.1
111921,64,4.4
18,65,3.8
11,66,4
3,67,4.3
27,68,3.7
47,69,4.2
4,70,4.5
9,71,4
34,72,4.4
5020,73,4
828,74,4.5
5,75,3.7
11,76,4
2363,77,3.3
97981,78,4.3
48,79,4.1
11,80,3.9
85,81,4.3
23,82,4.1
176,83,4.3
244,84,4.5
9,85,3.9
6400,86,4.4
32,87,4.2
23,88,4.1
2200,89,4.5
8,90,4.2
891,91,4.3
15,92,4.1
6000,93,4.4
197,94,4.4
3008,95,4.3
53,96,4.4
113,97,4.1
11,98,3.7
18,99,4.1
108,100,3.9
234,101,3.9
1979,102,4.4
3,103,3.9
16,104,4.2
6,105,3.9
2900,106,4.1
775,107,4
8,108,3
2200,109,4.2
2283,110,4.3
1467,111,4
392,112,3.8
113,113,4.1
197,114,4.4
4957,115,4.4
8,116,3.5
271,117,4.4
16,118,4.2
16,119,4.2
8,120,4.9
34,121,4.1
8,122,4.1
15,123,3.7
4,124,4.6
15,125,4
11,126,3.9
329,127,3.6
1995,128,4.1
7,129,2.6
129,130,4
2,131,4
15,132,3.8
535,133,3.9
17,134,4.1
17,135,4.2
31,136,3.2
8,137,3.7
40,138,4.1
851,139,4.2
29,140,4.4
1100,141,4.1
3,142,3.9
22,143,4.2
29,144,4.2
18,145,4.1
8566,146,4.5
52831,147,4.4
9,148,3.9
140,149,4
3,150,3.8
1997,151,3.5
17119,152,4.6
350,153,4
8,154,4.9
392,155,3.8
1815,156,4.5
132,157,4
311,158,4.1
3,159,4.7
16,160,4.1
38,161,4.4
356,162,4.2
8,163,4.2
44,164,4
18,165,4.4
6,166,4.3
9,167,3.8
48,168,3.9
18154,169,4.1
4,170,3.5
