Place_Id,Place_name,Age,Category,Road_condition,Weather_Condition,Description,Mode_of_Transport,Latitude,Longitude
1,Victoria Memorial,All Ages,Historical Monument,Good,Haze,"A grand white marble monument dedicated to Queen Victoria, featuring Indo-Saracenic architecture and housing a museum with artifacts from British India.","Bus, Taxi",22.54498,88.34243
2,Quest Mall,All Ages,"Shopping, Entertainment",Good,Haze,"A modern, upscale shopping mall with various brands, restaurants, and entertainment options.","Bus, Taxi, Metro",22.53915,88.36603
3,Fort William Kolkata,All Ages,Historical Site,Good,Cloudy,A historic British fort with a museum showcasing military history and a serene park for picnics.,"Bus, Taxi",22.55895,88.33773
4,Shalimar Station,All Ages,Transportation Hub (Railway Station),Good,Hazr,"A major railway station in Howrah, Kolkata, serving local and long-distance trains.","Train, Bus, taxi",22.55591,88.31503
5,Belur Math,All Ages,Religious/Spiritual,Good,Haze,"The headquarters of the Ramakrishna Mission, a spiritual organization founded by Swami Vivekananda.","Bus, Taxi, Ferry",22.63282,88.35642
6,Howrah Bridge,All Ages,Architectural Landmark,Good,Cloudy,"A majestic suspension bridge connecting Kolkata to Howrah, offering stunning views of the Hooghly River.","Bus, Taxi, Walking",22.58532,88.34681
7,Birla Planetarium,"Children, Teens, Families",Science/Education,Good,Clear,A popular science museum with interactive exhibits and shows on astronomy and space science.,"Bus, Taxi",22.54548,88.34732
8,Indian Museum,"Children, Teens, Families",Museum,Average,Clear,"One of the oldest museums in India, housing a vast collection of artifacts from various cultures and periods.","Bus, Taxi, Metro",22.55108,88.35109
9,Marin House,"Teens, Families","Historical Mansion, Museum, Art Gallery",Good,Cloudy,"A 19th-century mansion with marble interiors, sculptures, and a collection of artworks. Photography restrictions may apply.","Bus, Taxi, Auto-rickshaw",22.55162,88.32678
10,Marble Palace Mansion,All Ages,Historical Mansion,Average,Haze,"A beautiful 19th-century mansion showcasing European and Indian architectural styles, with a collection of art and antiques.","Bus, Taxi",22.58251,88.36023
11,Mother House,All Ages,Religious/Spiritual,Average,Haze,"The headquarters of the Missionaries of Charity, founded by Mother Teresa, offering a glimpse into the organization's work","Bus, Taxi, Walking",22.55327,88.36447
12,Science City Kolkata,"Children, Teens, Families",Science/Education,Good,Clear,"A sprawling science museum with interactive exhibits, rides, and shows on various scientific concepts.","Bus, Taxi",22.54162,88.39697
13,St. Paul's Cathedral Kolkata,"Children, Teens, Families",Religious/Architectural,Good,Cloudy,A historic Anglican cathedral with beautiful architecture and stained glass windows.,"Bus, Taxi, Walking",22.54451,88.34673
14,Tea Board,All Ages,"Government Office, Tea Industry",Good,Cloudy,"The regional office of the Tea Board India, responsible for regulating and promoting the tea industry in India.","Bus, Taxi, Metro, Auto-rickshaw",22.575,88.3516
15,Tajpur,18+ (for adult only),Beach Destination,Average,Clear,"A serene beach town with pristine beaches, perfect for swimming, sunbathing, and enjoying seafood.","Bus, Car",22.53859,87.97996
16,Birla Mandir Kolkata,All Ages,Religious/Spiritual,Good,Clear,"A grand Hindu temple dedicated to Lord Shiva, offering a peaceful atmosphere and stunning architecture.","Bus, Taxi",22.53063,88.36502
17,Eden Gardens,All Ages,Sports/Entertainment,Good,Clear,"A world-famous cricket stadium, home to the Kolkata Knight Riders and hosting international matches.","Bus, Taxi, Walking",22.56482,88.34333
18,Jorasanko Thakur Bari,All Ages,Historical Museum,Average,Clear,"The ancestral home of Rabindranath Tagore, a Nobel Prize-winning poet and philosopher, offering a glimpse into his life and work","Bus, Taxi",22.58515,88.35918
19,Birla Industrial & Technological Museum,"Children, Teens, Families",Museum/Technology,Good,Clear,"A museum showcasing the history of Indian industry and technology, with interactive exhibits and demonstrations.","Bus, Taxi",22.53511,88.36369
20,Rabindra Sarovar,All Ages,Park/Recreation,Average,Clear,"A large artificial lake surrounded by lush greenery, perfect for boating, picnics, and jogging.","Bus, Taxi, Walking",22.51228,88.3605
